COMPANY	RIC	INDEX WEIGHT	PROPERTY TYPE	CAP RANGE	SIZE	LEGACY KEY
Stericycle Inc	SRCL.OQ	0.000571044				
Stryker Corp	SYK.N	0.00157444				
SunTrust Banks Inc (GA)	STI.N	0.001127932				
Sunoco Inc	SUN.N	0.000413896				
Supervalu Inc	SVU.N	0.000207261				
Symantec Corp	SYMC.OQ	0.001217654				
Sysco Corp	SYY.N	0.001620603				
T Rowe Price Group Inc	TROW.OQ	0.001333722				
TECO Energy Inc	TE.N	0.000346105				
TJX Cos Inc	TJX.N	0.001716072				
Target Corp	TGT.N	0.003597484				
Tellabs Inc	TLAB.OQ	0.000240771				
Tenet Healthcare	THC.N	0.000192847				
Teradata Corp	TDC.N	0.000631825				
Teradyne Inc	TER.N	0.000188734				
Tesoro Corp	TSO.N	0.000171211				
Texas Instruments Inc	TXN.N	0.003269888				
Textron Inc	TXT.N	0.000543141				
The Bank of New York Mellon Corp	BK.N	0.002814256				
Thermo Fisher Scientific	TMO.N	0.001937877				
Tiffany & Co	TIF.N	0.000631378				
Time Warner Cable Inc	TWC.N	0.001919145				
Time Warner Inc	TWX.N	0.003368581				
Titanium Metals Corp	TIE.N	0.000160536				
Torchmark Corp	TMK.N	0.000429104				
Total System Services Inc	TSS.N	0.000239713				
Travelers Cos Inc	TRV.N	0.002411795				
Tyco Intl	TYC.N	0.001784818				
Tyson Foods Inc A	TSN.N	0.000420853				
US Bancorp	USB.N	0.004217333				
Union Pacific Corp	UNP.N	0.004136693				
United Parcel Service Inc B	UPS.N	0.00625408				
United States Steel Corp	X.N	0.000595128				
United Technologies Corp	UTX.N	0.006461856				
Unitedhealth Group Inc	UNH.N	0.003844801				
Unum Group	UNM.N	0.000689245				
Urban Outfitters	URBN.OQ	0.00036073				
VF Corp	VFC.N	0.000665533				
Valero Energy Corp	VLO.N	0.000942086				
Varian Medical Systems Inc	VAR.N	0.000703287				
Ventas Inc	VTR.N	0.000780958				
VeriSign Inc	VRSN.OQ	0.00055269				
Verizon Communications Inc	VZ.N	0.008569636				
Viacom Inc B	VIAb.N	0.002187705				
Visa Inc	V.N	0.003602094				
Vornado Realty Trust	VNO.N	0.00133878				
Vulcan Materials Co	VMC.N	0.000465811				
Wal-Mart Stores	WMT.N	0.010128743				
Walgreen Co	WAG.N	0.003102329				
Walt Disney Co	DIS.N	0.006383452				
Washington Post Co B	WPO.N	0.000206593				
Waste Management Inc	WM.N	0.001583325				
Waters Corp	WAT.N	0.000642694				
Watson Pharmaceuticals	WPI.N	0.000487373				
WellPoint Inc	WLP.N	0.002059799				
Wells Fargo & Co	WFC.N	0.012562044				
Western Digital Corp	WDC.N	0.000699667				
Western Union Co	WU.N	0.001064684				
Weyerhaeuser Co	WY.N	0.000812385				
Whirlpool Corp	WHR.N	0.000542433				
Whole Foods Market Inc	WFMI.OQ	0.000546277				
Williams Cos Inc	WMB.N	0.001165637				
Windstream Corp	WIN.OQ	0.000571623				
Wisconsin Energy Corp	WEC.N	0.000646981				
Wyndham Worldwide Corp	WYN.N	0.000500933				
Wynn Resorts Ltd	WYNN.OQ	0.000783881				
XL Group Plc	XL.N	0.00066447				
Xcel Energy Inc	XEL.N	0.001015782				
Xerox Corp	XRX.N	0.00149819				
Xilinx Inc	XLNX.OQ	0.000649514				
Yahoo Inc	YHOO.OQ	0.002020062				
Yum! Brands Inc	YUM.N	0.002181501				
Zimmer Holdings Inc	ZMH.N	0.000909958				
Zions Bancorp (UT)	ZION.OQ	0.000323635				
eBay Inc.	EBAY.OQ	0.00320925				
		1				
